world_rank|institution|country|national_rank
186|Pohang University of Science and Technology|South Korea|6
187|Stockholm University|Sweden|6
188|Hokkaido University|Japan|12
189|Fudan University|China|3
190|University of Sussex|United Kingdom|15
191|Université catholique de Louvain|Belgium|4
192|Wayne State University|USA|83
193|University of Massachusetts Medical School|USA|84
194|University of Lausanne|Switzerland|6
195|Shanghai Jiao Tong University|China|4
196|University of Missouri–Columbia|USA|85
197|Technical University of Denmark|Denmark|3
198|Complutense University of Madrid|Spain|2
199|University of Cologne|Germany|12
200|Trinity College Dublin|Ireland|1
201|University of Bern|Switzerland|7
202|Chinese University of Hong Kong|Hong Kong|2
203|University of Kansas|USA|86
204|Sungkyunkwan University|South Korea|7
205|University of Vienna|Austria|1
206|Zhejiang University|China|5
207|University of Georgia|USA|87
208|University of Massachusetts Amherst|USA|88
209|Cardiff University|United Kingdom|16
210|University of Münster|Germany|13
211|University of Liverpool|United Kingdom|17
212|University of Ottawa|Canada|9
213|University of Erlangen Nuremberg|Germany|14
214|Queen Mary University of London|United Kingdom|18
215|Karlsruhe Institute of Technology|Germany|15
216|Louisiana State University   Baton Rouge|USA|89
217|Nanjing University|China|6
218|University of Illinois at Chicago|USA|90
219|University of Bologna|Italy|4
220|University of Manitoba|Canada|10
221|Joseph Fourier University|France|8
222|University of California Riverside|USA|91
223|Julius Maximilian's University of Würzburg|Germany|16
224|Aix Marseille University|France|9
225|University of Western Australia|Australia|7
226|Laval University|Canada|11
227|University of Tennessee Knoxville|USA|92
228|North Carolina State University|USA|93
229|Newcastle University|United Kingdom|19
230|Claude Bernard University Lyon 1|France|10
231|University of Turin|Italy|5
232|University of Kiel|Germany|17
233|University of Connecticut|USA|94
234|Tulane University|USA|95
235|University of Oklahoma   Norman Campus|USA|96
236|Brandeis University|USA|97
237|Dresden University of Technology|Germany|18
238|RWTH Aachen University|Germany|19
239|University of Texas Health Science Center at San Antonio|USA|98
240|Virginia Commonwealth University|USA|99
241|University of Montpellier 2|France|11
242|Dalian University of Technology|China|7
243|Rensselaer Polytechnic Institute|USA|100
244|Paul Sabatier University   Toulouse III|France|12
245|Paris Descartes University|France|13
246|National Cheng Kung University|Taiwan|2
247|University of Delaware|USA|101
248|Vrije Universiteit Brussel|Belgium|5
249|Johannes Gutenberg University of Mainz|Germany|20
250|Maastricht University|Netherlands|8
251|University of Düsseldorf|Germany|21
252|University of Dundee|United Kingdom|20
253|University of Tsukuba|Japan|13
254|Autonomous University of Barcelona|Spain|3
255|Florida State University|USA|102
256|University of Texas at San Antonio|USA|103
257|London School of Hygiene & Tropical Medicine|United Kingdom|21
258|Lehigh University|USA|104
259|University of Kentucky|USA|105
260|Thomas Jefferson University|USA|106
261|Drexel University|USA|107
262|Colorado State University   Fort Collins|USA|108
263|University of Leicester|United Kingdom|22
264|Durham University|United Kingdom|23
265|Oregon State University|USA|109
266|University of Florence|Italy|6
267|University of Cape Town|South Africa|2
268|University at Buffalo The State University of New York|USA|110
269|University College Dublin|Ireland|2
270|University of Science and Technology of China|China|8
271|Virginia Polytechnic Institute and State University|USA|111
272|University of Naples Federico II|Italy|7
273|University of Auckland|New Zealand|1
274|University of Texas Health Science Center at Houston|USA|112
275|Delft University of Technology|Netherlands|9
276|University of Aberdeen|United Kingdom|24
277|Queen's University|Canada|12
278|University of Lisbon|Portugal|1
279|Hiroshima University|Japan|14
280|University of Waterloo|Canada|13
281|Okayama University|Japan|15
282|University of Ulm|Germany|22
283|Chulalongkorn University|Thailand|1
284|Dalhousie University|Canada|14
285|Saint Petersburg State University|Russia|2
286|Norwegian University of Science and Technology|Norway|2
287|University of Reading|United Kingdom|25
288|Wageningen University and Research Centre|Netherlands|10
289|Umeå University|Sweden|7
290|University of Porto|Portugal|2
291|Hong Kong University of Science and Technology|Hong Kong|3
292|Sun Yat sen University|China|9
293|Medical College of Wisconsin|USA|113
294|City College of New York|USA|114
295|Hannover Medical School|Germany|23
296|Washington State University Pullman|USA|115
297|Technical University of Berlin|Germany|24
298|University of South Carolina   Columbia|USA|116
299|Leipzig University|Germany|25
300|University of Stuttgart|Germany|26
301|University of Valencia|Spain|4
302|Linköping University|Sweden|8
303|University of Duisburg Essen|Germany|27
304|Ruhr University Bochum|Germany|28
305|University of Bergen|Norway|3
306|London School of Economics|United Kingdom|26
307|Wesleyan University|USA|117
308|University of Pisa|Italy|8
309|Autonomous University of Madrid|Spain|5
310|Medical University of Vienna|Austria|2
311|Stellenbosch University|South Africa|3
312|Medical University of South Carolina|USA|118
313|Charles University in Prague|Czech Republic|1
314|Kyungpook National University|South Korea|8
315|University of Science Malaysia|Malaysia|1
316|University of Liège|Belgium|6
317|University of Hull|United Kingdom|27
318|Northeastern University|USA|119
319|Kansas State University|USA|120
320|University of Vermont|USA|121
321|Rush University|USA|122
322|University of Louisville|USA|123
323|University of St Andrews|United Kingdom|28
324|University of Warwick|United Kingdom|29
325|University of Rome Tor Vergata|Italy|9
326|University of Innsbruck|Austria|3
327|Darmstadt University of Technology|Germany|29
328|Indian Institute of Technology Delhi|India|1
329|Federal University of Rio de Janeiro|Brazil|2
330|University of Antwerp|Belgium|7
331|National and Kapodistrian University of Athens|Greece|1
332|Boston College|USA|124
333|Vita Salute San Raffaele University|Italy|10
334|Gwangju Institute of Science and Technology|South Korea|9
335|University of Nebraska–Lincoln|USA|125
336|University of York|United Kingdom|30
337|National Autonomous University of Mexico|Mexico|1
338|University of Regensburg|Germany|30
339|Yokohama National University|Japan|16
340|University of Adelaide|Australia|8
341|University of Genoa|Italy|11
342|Queen's University Belfast|United Kingdom|31
343|University of Marburg|Germany|31
344|University of Pavia|Italy|12
345|St George's University of London|United Kingdom|32
346|University of Oregon|USA|126
347|University of Navarra|Spain|6
348|San Diego State University|USA|127
